#	X	rho	      u	              P	        rho_initial
   1.21514    0.44696803    0.87780992    0.32489181    0.12500000  
   1.25498    0.44642226    0.87781072    0.32489173    0.12500000  
   1.29482    0.44561588    0.87781188    0.32489151    0.12500000  
   1.33466    0.44421242    0.87781279    0.32489141    0.12500000  
   1.37450    0.44151256    0.87781299    0.32489165    0.12500000  
   1.41434    0.43602564    0.87781233    0.32489231    0.12500000  
   1.45418    0.42427294    0.87781103    0.32489326    0.12500000  
   1.49402    0.40014360    0.87780959    0.32489428    0.12500000  
   1.53386    0.36326972    0.87780855    0.32489511    0.12500000  
   1.57371    0.32169218    0.87780831    0.32489556    0.12500000  
   1.61355    0.28511334    0.87780899    0.32489565    0.12500000  
   1.65339    0.26113284    0.87781047    0.32489544    0.12500000  
   1.69323    0.24962966    0.87781248    0.32489506    0.12500000  
   1.73307    0.24452378    0.87781474    0.32489459    0.12500000  
   1.77291    0.24227749    0.87781693    0.32489414    0.12500000  
   1.81275    0.24136382    0.87781876    0.32489379    0.12500000  
   1.85259    0.24105337    0.87781998    0.32489362    0.12500000  
   1.89243    0.24101816    0.87782046    0.32489365    0.12500000  
   1.93227    0.24108661    0.87782021    0.32489388    0.12500000  
   1.97211    0.24116047    0.87781938    0.32489427    0.12500000  
   2.01195    0.24119945    0.87781825    0.32489474    0.12500000  
   2.05179    0.24120590    0.87781715    0.32489524    0.12500000  
   2.09163    0.24119870    0.87781646    0.32489570    0.12500000  
   2.13147    0.24119267    0.87781637    0.32489606    0.12500000  
   2.17131    0.24119253    0.87781697    0.32489627    0.12500000  
   2.21116    0.24119663    0.87781837    0.32489635    0.12500000  
   2.25100    0.24120195    0.87782048    0.32489637    0.12500000  
   2.29084    0.24120648    0.87782304    0.32489638    0.12500000  
   2.33068    0.24120962    0.87782631    0.32489665    0.12500000  
   2.37052    0.24121169    0.87783052    0.32489744    0.12500000  
   2.41036    0.24121331    0.87783443    0.32489850    0.12500000  
   2.45020    0.24121516    0.87783712    0.32489960    0.12500000  
   2.49004    0.24121754    0.87783993    0.32490120    0.12500000  
   2.52988    0.24121945    0.87784158    0.32490280    0.12500000  
   2.56972    0.24121938    0.87783871    0.32490314    0.12500000  
   2.60956    0.24121832    0.87783754    0.32490409    0.12500000  
   2.64940    0.24121842    0.87784466    0.32490767    0.12500000  
   2.68924    0.24121829    0.87784571    0.32490894    0.12500000  
   2.72908    0.24121762    0.87783773    0.32490681    0.12500000  
